观测点id: 1, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.14)
观测点id: 1, 射线角度：10, 最近交点坐标: (88.63, 152.47, 1.21)
观测点id: 1, 射线角度：20, 最近交点坐标: (149.69, 182.52, 1.55)
观测点id: 1, 射线角度：40, 最近交点坐标: (116.93, 203.86, 1.46)
观测点id: 1, 射线角度：50, 最近交点坐标: (83.51, 188.72, 1.28)
观测点id: 1, 射线角度：60, 最近交点坐标: (74.89, 193.56, 1.28)
观测点id: 1, 射线角度：70, 最近交点坐标: (61.40, 184.89, 1.21)
观测点id: 1, 射线角度：80, 最近交点坐标: (53.61, 183.06, 1.19)
观测点id: 1, 射线角度：90, 最近交点坐标: (46.92, 199.37, 1.27)
观测点id: 1, 射线角度：100, 最近交点坐标: (30.13, 240.31, 1.48)
观测点id: 1, 射线角度：110, 最近交点坐标: (-5.08, 287.96, 1.76)
观测点id: 1, 射线角度：300, 最近交点坐标: (91.90, 67.21, 1.45)
观测点id: 1, 射线角度：310, 最近交点坐标: (75.56, 110.98, 1.22)
观测点id: 1, 射线角度：320, 最近交点坐标: (68.06, 127.37, 1.14)
观测点id: 1, 射线角度：330, 最近交点坐标: (73.27, 129.89, 1.15)
观测点id: 1, 射线角度：340, 最近交点坐标: (80.10, 133.03, 1.18)
观测点id: 1, 射线角度：350, 最近交点坐标: (77.35, 139.75, 1.15)
观测点id: 1, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.28)
观测点id: 1, 射线角度：10, 最近交点坐标: (88.63, 152.47, 1.42)
观测点id: 1, 射线角度：20, 最近交点坐标: (149.69, 182.52, 2.09)
观测点id: 1, 射线角度：40, 最近交点坐标: (116.93, 203.86, 1.91)
观测点id: 1, 射线角度：50, 最近交点坐标: (83.51, 188.72, 1.57)
观测点id: 1, 射线角度：60, 最近交点坐标: (74.89, 193.56, 1.56)
观测点id: 1, 射线角度：70, 最近交点坐标: (61.40, 184.89, 1.42)
观测点id: 1, 射线角度：80, 最近交点坐标: (53.61, 183.06, 1.39)
观测点id: 1, 射线角度：90, 最近交点坐标: (46.92, 199.37, 1.54)
观测点id: 1, 射线角度：100, 最近交点坐标: (30.13, 240.31, 1.97)
观测点id: 1, 射线角度：110, 最近交点坐标: (-5.08, 287.96, 2.52)
观测点id: 1, 射线角度：300, 最近交点坐标: (91.90, 67.21, 1.90)
观测点id: 1, 射线角度：310, 最近交点坐标: (75.56, 110.98, 1.45)
观测点id: 1, 射线角度：320, 最近交点坐标: (68.06, 127.37, 1.28)
观测点id: 1, 射线角度：330, 最近交点坐标: (73.27, 129.89, 1.30)
观测点id: 1, 射线角度：340, 最近交点坐标: (80.10, 133.03, 1.35)
观测点id: 1, 射线角度：350, 最近交点坐标: (77.35, 139.75, 1.31)
观测点id: 1, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.42)
