PointID,DirectionID,IntersectionX,IntersectionY,IntersectionZ,Parameter
1,1,75.15,145.11,1.14,28.23
1,11,88.63,152.47,1.21,42.36
1,21,149.69,182.52,1.55,109.37
1,41,116.93,203.86,1.46,91.40
1,51,83.51,188.72,1.28,56.92
1,61,74.89,193.56,1.28,55.94
1,71,61.40,184.89,1.21,42.33
1,81,53.61,183.06,1.19,38.53
1,91,46.92,199.37,1.27,54.26
1,101,30.13,240.31,1.48,96.67
1,111,-5.08,287.96,1.76,152.02
1,301,91.90,67.21,1.45,89.96
1,311,75.56,110.98,1.22,44.56
1,321,68.06,127.37,1.14,27.60
1,331,73.27,129.89,1.15,30.43
1,341,80.10,133.03,1.18,35.31
1,351,77.35,139.75,1.15,30.90
1,2,75.15,145.11,1.28,28.23
1,12,88.63,152.47,1.42,42.36
1,22,149.69,182.52,2.09,109.38
1,42,116.93,203.86,1.91,91.40
1,52,83.51,188.72,1.57,56.92
1,62,74.89,193.56,1.56,55.94
1,72,61.40,184.89,1.42,42.34
1,82,53.61,183.06,1.39,38.53
1,92,46.92,199.37,1.54,54.26
1,102,30.13,240.31,1.97,96.67
1,112,-5.08,287.96,2.52,152.03
1,302,91.90,67.21,1.90,89.96
1,312,75.56,110.98,1.45,44.56
1,322,68.06,127.37,1.28,27.61
1,332,73.27,129.89,1.30,30.44
1,342,80.10,133.03,1.35,35.31
1,352,77.35,139.75,1.31,30.90
1,3,75.15,145.11,1.42,28.24
1,13,88.63,152.47,1.64,42.36
1,23,149.69,182.52,2.64,109.39
1,43,116.93,203.86,2.37,91.41
1,53,83.51,188.72,1.85,56.93
1,63,74.89,193.56,1.84,55.95
1,73,61.40,184.89,1.64,42.34
1,83,53.61,183.06,1.58,38.53
1,93,46.92,199.37,1.81,54.27
1,103,30.13,240.31,2.45,96.68
1,113,-5.08,287.96,3.28,152.03
1,303,91.90,67.21,2.35,89.97
1,313,75.56,110.98,1.67,44.56
1,323,68.06,127.37,1.41,27.61
1,333,73.27,129.89,1.46,30.44
1,343,80.10,133.03,1.53,35.31
1,353,77.35,139.75,1.46,30.90
1,4,75.15,145.11,1.56,28.24
1,14,88.63,152.47,1.85,42.37
1,24,149.69,182.52,3.19,109.40
1,44,116.93,203.86,2.83,91.42
1,54,83.51,188.72,2.14,56.93
1,64,74.89,193.56,2.12,55.95
1,74,61.40,184.89,1.85,42.34
1,84,53.61,183.06,1.77,38.54
1,94,46.92,199.37,2.09,54.27
1,104,30.13,240.31,2.93,96.69
1,114,-5.08,287.96,4.04,152.05
1,304,91.90,67.21,2.80,89.98
1,314,75.56,110.98,1.89,44.57
1,324,68.06,127.37,1.55,27.61
1,334,73.27,129.89,1.61,30.44
1,344,80.10,133.03,1.71,35.32
1,354,77.35,139.75,1.62,30.91
1,5,75.15,145.11,1.71,28.24
1,15,88.63,152.47,2.06,42.37
1,25,149.69,182.52,3.73,109.41
1,45,116.93,203.86,3.28,91.43
1,55,83.51,188.72,2.42,56.94
1,65,74.89,193.56,2.40,55.96
1,75,61.40,184.89,2.06,42.35
1,85,53.61,183.06,1.96,38.54
1,95,46.92,199.37,2.36,54.28
1,105,30.13,240.31,3.42,96.70
1,115,-5.08,287.96,4.80,152.07
1,305,91.90,67.21,3.25,89.99
1,315,75.56,110.98,2.11,44.57
1,325,68.06,127.37,1.69,27.61
1,335,73.27,129.89,1.76,30.44
1,345,80.10,133.03,1.88,35.32
1,355,77.35,139.75,1.77,30.91
2,1,128.51,165.48,1.20,39.98
2,11,129.91,172.78,1.21,42.02
2,21,207.40,208.75,1.63,126.50
2,51,124.39,208.22,1.28,55.79
2,61,114.24,210.01,1.26,51.42
2,71,99.94,196.83,1.17,33.36
2,81,93.49,193.65,1.14,28.60
2,91,88.53,191.20,1.13,25.71
2,101,84.36,189.14,1.12,24.02
2,111,79.91,189.16,1.13,25.19
2,121,72.88,192.60,1.16,31.31
2,131,67.81,190.17,1.16,32.23
2,141,63.95,186.11,1.16,32.09
2,151,57.85,183.20,1.18,35.42
2,241,77.99,147.23,1.11,21.08
2,251,82.73,149.56,1.08,16.94
2,261,86.00,151.17,1.07,14.53
2,271,88.53,152.42,1.07,13.07
2,281,90.65,153.46,1.06,12.21
2,291,92.56,154.40,1.06,11.79
2,301,94.40,155.31,1.06,11.75
2,311,96.29,156.24,1.06,12.07
2,321,98.34,157.25,1.06,12.82
2,331,100.75,158.43,1.07,14.11
2,341,103.79,159.93,1.08,16.24
2,351,108.08,162.04,1.10,19.85
2,2,128.51,165.48,1.40,39.98
2,12,129.91,172.78,1.42,42.02
2,22,207.40,208.75,2.27,126.51
2,52,124.39,208.22,1.56,55.80
2,62,114.24,210.01,1.51,51.42
2,72,99.94,196.83,1.33,33.36
2,82,93.49,193.65,1.29,28.60
2,92,88.53,191.20,1.26,25.71
2,102,84.36,189.14,1.24,24.02
2,112,79.91,189.16,1.25,25.19
2,122,72.88,192.60,1.31,31.31
2,132,67.81,190.17,1.32,32.23
2,142,63.95,186.11,1.32,32.09
2,152,57.85,183.20,1.35,35.43
2,242,77.99,147.23,1.21,21.08
2,252,82.73,149.56,1.17,16.94
2,262,86.00,151.17,1.15,14.53
2,272,88.53,152.42,1.13,13.07
2,282,90.65,153.46,1.12,12.21
2,292,92.56,154.40,1.12,11.80
2,302,94.40,155.31,1.12,11.75
2,312,96.29,156.24,1.12,12.07
2,322,98.34,157.25,1.13,12.82
2,332,100.75,158.43,1.14,14.11
2,342,103.79,159.93,1.16,16.25
2,352,108.08,162.04,1.20,19.85
2,3,128.51,165.48,1.60,39.99
2,13,129.91,172.78,1.63,42.02
2,23,207.40,208.75,2.90,126.52
2,53,124.39,208.22,1.84,55.80
2,63,114.24,210.01,1.77,51.42
2,73,99.94,196.83,1.50,33.36
2,83,93.49,193.65,1.43,28.60
2,93,88.53,191.20,1.39,25.71
2,103,84.36,189.14,1.36,24.02
2,113,79.91,189.16,1.38,25.20
2,123,72.88,192.60,1.47,31.31
2,133,67.81,190.17,1.48,32.23
2,143,63.95,186.11,1.48,32.09
2,153,57.85,183.20,1.53,35.43
2,243,77.99,147.23,1.32,21.08
2,253,82.73,149.56,1.25,16.94
2,263,86.00,151.17,1.22,14.53
2,273,88.53,152.42,1.20,13.07
2,283,90.65,153.46,1.18,12.21
2,293,92.56,154.40,1.18,11.80
2,303,94.40,155.31,1.18,11.75
2,313,96.29,156.24,1.18,12.08
2,323,98.34,157.25,1.19,12.82
2,333,100.75,158.43,1.21,14.11
2,343,103.79,159.93,1.24,16.25
2,353,108.08,162.04,1.30,19.85
2,4,128.51,165.48,1.80,39.99
2,14,129.91,172.78,1.84,42.03
2,24,207.40,208.75,3.53,126.53
2,54,124.39,208.22,2.12,55.80
2,64,114.24,210.01,2.03,51.43
2,74,99.94,196.83,1.67,33.37
