观测点id: 1, 交点id: 1, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.14)
观测点id: 1, 交点id: 2, 射线角度：10, 最近交点坐标: (88.63, 152.47, 1.21)
观测点id: 1, 交点id: 3, 射线角度：20, 最近交点坐标: (149.69, 182.52, 1.55)
观测点id: 1, 交点id: 4, 射线角度：40, 最近交点坐标: (116.93, 203.86, 1.46)
观测点id: 1, 交点id: 5, 射线角度：50, 最近交点坐标: (83.51, 188.72, 1.28)
观测点id: 1, 交点id: 6, 射线角度：60, 最近交点坐标: (74.89, 193.56, 1.28)
观测点id: 1, 交点id: 7, 射线角度：70, 最近交点坐标: (61.40, 184.89, 1.21)
观测点id: 1, 交点id: 8, 射线角度：80, 最近交点坐标: (53.61, 183.06, 1.19)
观测点id: 1, 交点id: 9, 射线角度：90, 最近交点坐标: (46.92, 199.37, 1.27)
观测点id: 1, 交点id: 10, 射线角度：100, 最近交点坐标: (30.13, 240.31, 1.48)
观测点id: 1, 交点id: 11, 射线角度：110, 最近交点坐标: (-5.08, 287.96, 1.76)
观测点id: 1, 交点id: 12, 射线角度：300, 最近交点坐标: (91.90, 67.21, 1.45)
观测点id: 1, 交点id: 13, 射线角度：310, 最近交点坐标: (75.56, 110.98, 1.22)
观测点id: 1, 交点id: 14, 射线角度：320, 最近交点坐标: (68.06, 127.37, 1.14)
观测点id: 1, 交点id: 15, 射线角度：330, 最近交点坐标: (73.27, 129.89, 1.15)
观测点id: 1, 交点id: 16, 射线角度：340, 最近交点坐标: (80.10, 133.03, 1.18)
观测点id: 1, 交点id: 17, 射线角度：350, 最近交点坐标: (77.35, 139.75, 1.15)
观测点id: 1, 交点id: 18, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.28)
观测点id: 1, 交点id: 19, 射线角度：10, 最近交点坐标: (88.63, 152.47, 1.42)
观测点id: 1, 交点id: 20, 射线角度：20, 最近交点坐标: (149.69, 182.52, 2.09)
观测点id: 1, 交点id: 21, 射线角度：40, 最近交点坐标: (116.93, 203.86, 1.91)
观测点id: 1, 交点id: 22, 射线角度：50, 最近交点坐标: (83.51, 188.72, 1.57)
观测点id: 1, 交点id: 23, 射线角度：60, 最近交点坐标: (74.89, 193.56, 1.56)
观测点id: 1, 交点id: 24, 射线角度：70, 最近交点坐标: (61.40, 184.89, 1.42)
观测点id: 1, 交点id: 25, 射线角度：80, 最近交点坐标: (53.61, 183.06, 1.39)
观测点id: 1, 交点id: 26, 射线角度：90, 最近交点坐标: (46.92, 199.37, 1.54)
观测点id: 1, 交点id: 27, 射线角度：100, 最近交点坐标: (30.13, 240.31, 1.97)
观测点id: 1, 交点id: 28, 射线角度：110, 最近交点坐标: (-5.08, 287.96, 2.52)
观测点id: 1, 交点id: 29, 射线角度：300, 最近交点坐标: (91.90, 67.21, 1.90)
观测点id: 1, 交点id: 30, 射线角度：310, 最近交点坐标: (75.56, 110.98, 1.45)
观测点id: 1, 交点id: 31, 射线角度：320, 最近交点坐标: (68.06, 127.37, 1.28)
观测点id: 1, 交点id: 32, 射线角度：330, 最近交点坐标: (73.27, 129.89, 1.30)
观测点id: 1, 交点id: 33, 射线角度：340, 最近交点坐标: (80.10, 133.03, 1.35)
观测点id: 1, 交点id: 34, 射线角度：350, 最近交点坐标: (77.35, 139.75, 1.31)
观测点id: 1, 交点id: 35, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.42)
观测点id: 1, 交点id: 36, 射线角度：10, 最近交点坐标: (88.63, 152.47, 1.64)
观测点id: 1, 交点id: 37, 射线角度：20, 最近交点坐标: (149.69, 182.52, 2.64)
观测点id: 1, 交点id: 38, 射线角度：40, 最近交点坐标: (116.93, 203.86, 2.37)
观测点id: 1, 交点id: 39, 射线角度：50, 最近交点坐标: (83.51, 188.72, 1.85)
观测点id: 1, 交点id: 40, 射线角度：60, 最近交点坐标: (74.89, 193.56, 1.84)
观测点id: 1, 交点id: 41, 射线角度：70, 最近交点坐标: (61.40, 184.89, 1.64)
观测点id: 1, 交点id: 42, 射线角度：80, 最近交点坐标: (53.61, 183.06, 1.58)
观测点id: 1, 交点id: 43, 射线角度：90, 最近交点坐标: (46.92, 199.37, 1.81)
观测点id: 1, 交点id: 44, 射线角度：100, 最近交点坐标: (30.13, 240.31, 2.45)
观测点id: 1, 交点id: 45, 射线角度：110, 最近交点坐标: (-5.08, 287.96, 3.28)
观测点id: 1, 交点id: 46, 射线角度：300, 最近交点坐标: (91.90, 67.21, 2.35)
观测点id: 1, 交点id: 47, 射线角度：310, 最近交点坐标: (75.56, 110.98, 1.67)
观测点id: 1, 交点id: 48, 射线角度：320, 最近交点坐标: (68.06, 127.37, 1.41)
观测点id: 1, 交点id: 49, 射线角度：330, 最近交点坐标: (73.27, 129.89, 1.46)
观测点id: 1, 交点id: 50, 射线角度：340, 最近交点坐标: (80.10, 133.03, 1.53)
观测点id: 1, 交点id: 51, 射线角度：350, 最近交点坐标: (77.35, 139.75, 1.46)
观测点id: 1, 交点id: 52, 射线角度：0, 最近交点坐标: (75.15, 145.11, 1.56)
观测点id: 1, 交点id: 53, 射线角度：10, 最近交点坐标: (88.63, 152.47, 1.85)
观测点id: 1, 交点id: 54, 射线角度：20, 最近交点坐标: (149.69, 182.52, 3.19)
观测点id: 1, 交点id: 55, 射线角度：40, 最近交点坐标: (116.93, 203.86, 2.83)
观测点id: 1, 交点id: 56, 射线角度：50, 最近交点坐标: (83.51, 188.72, 2.14)
观测点id: 1, 交点id: 57, 射线角度：60, 最近交点坐标: (74.89, 193.56, 2.12)
